Index,coherence,source,lang,FT_CC,FT_Cluster,BERT_CC,BERT_Cluster,Sent_CC,Sent_Cluster
C05760125_1,3,Clinton,en,0.43260915760962154,0.31117593918130004,0.30099233165303596,0.4002549399883138,0.5606323457608996,0.48500000000000004
C05768263_2,3,Clinton,en,0.4904948716566013,0.4615983431772905,0.32567610679311865,0.42214847326061994,0.7149788483121815,0.6550264550264551
C05771873_1,3,Clinton,en,0.42683467990102886,0.351978409346949,0.3551080030510217,0.44976273990860555,0.7237873237873238,0.6886243386243387
C05768528_2,3,Clinton,en,0.421953679798811,0.35207397264429113,0.28244739276446285,0.38592976534230367,0.6473882197953406,0.6632936507936509
C05775052_1,2,Clinton,en,0.5470007858831251,0.539422007380841,0.3592268145125925,0.4501254741772398,0.6534026037315511,0.43888888888888894
C05791984_2,1,Clinton,en,0.435671639612813,0.28150290718811927,0.30254604054762835,0.3834474370300258,0.5863437987855387,0.3880485527544351
C05793399_3,3,Clinton,en,0.42718082271469043,0.36124016375993145,0.27282621190157014,0.43202212157893505,0.7271518604851939,0.7912698412698413
C05784310_25,2,Clinton,en,0.4370570912343529,0.43943808384597854,0.3493158289993529,0.43880963304707027,0.71635101010101,0.7000000000000001
C05789373_3,3,Clinton,en,0.5119967216827506,0.4486211319544654,0.32340383369007275,0.5037230996159068,0.9199999999999999,0.9
C05785437_0,3,Clinton,en,0.4828364662528621,0.3682386952796834,0.3792975499823264,0.4746774357134534,1.0,1.0
C05788787_2,2,Clinton,en,0.4274219746873407,0.3825219356953102,0.3627633594915427,0.4484307701054493,0.6873126873126874,0.7364285714285714
C05797177_1,3,Clinton,en,0.4950187854682151,0.3455078513218049,0.3384602320479065,0.4427685415496445,0.6501090069201524,0.5662337662337662
C05796320_1,3,Clinton,en,0.48021407593953563,0.36920067586734245,0.3349068047812638,0.4920946222842457,,
C05779017_3,3,Clinton,en,0.4247008909306801,0.34735190819950096,0.3493402105011698,0.4620902068002412,0.7173708236208236,0.7
C05764791_1,3,Clinton,en,0.4814298778699029,0.4381175157831504,0.3509955698222501,0.4421043451278504,0.7195545195545194,0.6701058201058201
C05770789_0,2,Clinton,en,0.4925065651016141,0.3809960851656353,0.35114003206376504,0.4367635270612878,0.7271780303030303,0.625
C05761828_2,2,Clinton,en,0.4003159776078805,0.45492696204259375,0.3534529922106187,0.4333318888251999,0.6264013129001686,0.6907814407814409
C05788187_0,2,Clinton,en,0.4956141327527743,0.39178456464170747,0.358325024793562,0.4423668877021805,0.722979797979798,0.39166666666666666
C05765091_1,1,Clinton,en,0.500240004683794,0.39143258151355326,0.34659519385441967,0.4650398756623107,0.7254103535353535,0.5833333333333333
C05760680_3,3,Clinton,en,0.42223950772179064,0.38227606324019037,0.2645661236137479,0.43501569665322803,0.6218339423916637,0.5325396825396826
C05770743_1,3,Clinton,en,0.42471617519782084,0.31848877332489994,0.3301729094751265,0.46854923763508716,0.7125686813186813,0.8108730158730157
C05779683_0,1,Clinton,en,0.4555799653637638,0.36770200449445734,0.3344145963499379,0.4626499978237763,0.7676870748299319,0.7952380952380953
