Index,coherence,source,lang,BERT_NSP_PPL,Word_PPL
C05760125_1,3,Clinton,en,1.3990233,5.043146451951064
C05768263_2,3,Clinton,en,4.3732367,4.024296520159562
C05771873_1,3,Clinton,en,1.0000025,2.8831710615318342
C05768528_2,3,Clinton,en,2.9110527,5.861829762843057
C05775052_1,2,Clinton,en,1.5647131,8.800797593210111
C05791984_2,1,Clinton,en,2.028362,7.860998694725436
C05793399_3,3,Clinton,en,1.0000907,3.672777417563822
C05784310_25,2,Clinton,en,1.0001767,7.0626320018534425
C05789373_3,3,Clinton,en,1.0000091,4.165448722445045
C05785437_0,3,Clinton,en,1.0004661,10.160662325824045
C05788787_2,2,Clinton,en,1.0000159,5.893531328644913
C05797177_1,3,Clinton,en,2.1127374,7.070006494151306
C05796320_1,3,Clinton,en,1.0000021,3.548511257902988
C05779017_3,3,Clinton,en,1.000005,5.628993594638591
C05764791_1,3,Clinton,en,3.1922374,5.71356398612359
C05770789_0,2,Clinton,en,3.781977,11.470130984176691
C05761828_2,2,Clinton,en,1.0103098,5.966545781448364
C05788187_0,2,Clinton,en,3.2358277,7.272411880559244
C05765091_1,1,Clinton,en,1.0001173,8.039371397318147
C05760680_3,3,Clinton,en,1.7900176,7.691546926766931
C05770743_1,3,Clinton,en,3.319326,7.861601501205375
C05779683_0,1,Clinton,en,1.0001253,7.209224012884323
C05789969_1,2,Clinton,en,1.0029124,7.915367497757617
C05784992_0,3,Clinton,en,1.0000097,5.435892938783949
C05793859_1,1,Clinton,en,6.555733,8.364670108124878
C05759141_1,3,Clinton,en,1.0001372,6.993020975378978
C05792998_2,1,Clinton,en,39.483547,8.410328496281679
C05760084_1,1,Clinton,en,1.0000439,10.125847993790318
C05788797_0,3,Clinton,en,1.0016017,7.909830994462483
C05771323_0,2,Clinton,en,1.3094244,7.960370179558424
C05789795_2,3,Clinton,en,2.7351935,8.695766295946532
C05776954_2,1,Clinton,en,2.0013263,6.029225084788128
C05767779_0,1,Clinton,en,1.0000547,13.354380281180877
C05784022_0,1,Clinton,en,1.0009952,11.29675560948729
C05784284_1,3,Clinton,en,1.0001707,5.497470246526382
C05770474_2,3,Clinton,en,1.0000323,5.343254182728439
C05789258_0,3,Clinton,en,4.44126,5.230030510043107
C05760201_1,3,Clinton,en,1.0000198,7.684989583524591
C05793646_2,3,Clinton,en,3.1671333,5.701952467361063
C05794835_2,3,Clinton,en,1.0000023,5.802333635035501
C05770075_0,2,Clinton,en,4.5112567,8.977012767582242
C05790009_0,3,Clinton,en,3.7199373,7.870679063490927
C05775182_0,3,Clinton,en,1.0000871,9.863888202940228
C05769418_1,1,Clinton,en,5.0424495,10.533331671843307
C05796720_0,1,Clinton,en,2.1836357,6.4633087107334415
C05767369_0,2,Clinton,en,1.0028942,15.123613437151219
C05795876_6,3,Clinton,en,1.7624607,4.417389965624954
C05767443_2,3,Clinton,en,4.839461,7.806643386647093
C05791019_1,2,Clinton,en,1.0087173,8.590413942771947
C05760842_1,1,Clinton,en,1.7922734,7.408823970185976
C05770678_1,1,Clinton,en,1.4323866,6.13635847444744
C05775179_3,2,Clinton,en,1.0000671,8.502817254438414
C05770753_0,3,Clinton,en,1.0000029,5.742261698113343
C05774027_1,3,Clinton,en,1.0000024,2.9699202657109467
C05770352_1,2,Clinton,en,2.3353832,8.3429417540939
C05781933_0,1,Clinton,en,1.0000169,12.249226779139052
C05763057_2,3,Clinton,en,1.6028837,6.265916519732597
C05783571_2,3,Clinton,en,1.3802717,5.642889009311272
C05761833_1,3,Clinton,en,1.4497864,6.668217264970525
C05764999_1,3,Clinton,en,1.0015996,6.330514513313058
C05788390_11,3,Clinton,en,2.0074332,7.105446801258361
C05790689_0,1,Clinton,en,1.0039911,7.554242576273038
C05785387_0,1,Clinton,en,1.0002043,4.682860465438946
C05797133_1,1,Clinton,en,1.0000294,7.2950161541657845
C05787756_0,3,Clinton,en,1.0000021,4.055056412561128
C05783819_0,1,Clinton,en,1.0003532,7.402409793340186
C05760139_2,2,Clinton,en,1.000009,10.064103206965596
C05781934_0,3,Clinton,en,1.0003482,3.716273406057249
