Index,coherence,source,lang,Prompt_MeanK1,Prompt_MeanK2,Prompt_Global,Prompt_MCR,Prompt_SSC,Prompt_WL,Prompt_Var,Prompt_Peak,Prompt_Valley,Prompt_Amp,Prompt_Skew,Prompt_Kurt,Prompt_ApEn,Prompt_Acf,Prompt_AcfZcr
C05760125_1,3,Clinton,en,0.48041502237319944,,0.593785285949707,0.42105263157894735,0.6111111111111112,0.05933496512864765,0.004012527536002128,0.631007194519043,0.3751595616340637,0.25584763288497925,0.7838781674059814,-2.9517542048922025,0.09185850095287007,0.11282245591837169,0.21052631578947367
C05768263_2,3,Clinton,en,,,,,,,,,,,,,,,
C05771873_1,3,Clinton,en,0.5691561566458808,,0.5693184733390808,0.375,0.5714285714285714,0.03264976292848587,0.0007682564760167214,0.6302700042724609,0.5347904562950134,0.09547954797744751,0.8978448636402249,-2.859996045084314,0.039755402515464056,0.228420745699443,0.375
C05768528_2,3,Clinton,en,,,,,,,,,,,,,,,
C05775052_1,2,Clinton,en,0.5329867998758951,,0.6127742528915405,0.6363636363636364,0.6,0.08959406343373386,0.0048713880457928035,0.6435069441795349,0.4238491952419281,0.2196577489376068,-0.13618246811127732,-4.159417909313621,-0.09531017980432521,-0.19774723719205994,0.8181818181818182
C05791984_2,1,Clinton,en,0.5260962072540732,,0.5643661618232727,0.5625,0.6666666666666666,0.041361620649695396,0.001143366589226274,0.5848453044891357,0.4683789908885956,0.11646631360054016,0.1533563481978914,-4.178843449494982,0.02210487643242187,-0.009048073442303083,0.5625
C05793399_3,3,Clinton,en,0.6233020292388068,,0.7778912782669067,0.5,0.42857142857142855,0.08284341543912888,0.007551089545902775,0.8168942928314209,0.5233748555183411,0.29351943731307983,0.9462627512587923,-2.8814418787168563,-0.1335313926245223,0.14757466727617816,0.5
C05784310_25,2,Clinton,en,,,,,,,,,,,,,,,
C05789373_3,3,Clinton,en,,,,,,,,,,,,,,,
C05785437_0,3,Clinton,en,0.4138650968670845,,0.483129620552063,1.0,1.0,0.06756404042243958,0.003778788900933694,0.5019161105155945,0.3287230432033539,0.1731930673122406,0.06992135372806103,-4.027443482179992,-0.4054651081081645,-0.08823994888655393,1.0
C05788787_2,2,Clinton,en,,,,,,,,,,,,,,,
C05797177_1,3,Clinton,en,,,,,,,,,,,,,,,
C05796320_1,3,Clinton,en,,,,,,,,,,,,,,,
