Index,coherence,source,lang,BERT_NSP_PPL,Word_PPL
3181,3,CEDCC,zh,1.607327,8.459346053508401
1326,3,CEDCC,zh,1.6942797,11.480921703719922
268,3,CEDCC,zh,2.5026627,10.048806885599147
3031,2,CEDCC,zh,2.1511266,14.513367404893367
2302,3,CEDCC,zh,1.270361,9.721207720292172
4250,2,CEDCC,zh,2.3616407,14.021885552005832
4258,3,CEDCC,zh,1.5934591,14.407905694411777
3757,3,CEDCC,zh,1.6876111,19.263589146494343
980,1,CEDCC,zh,2.282122,12.207905830550326
2960,2,CEDCC,zh,2.3945768,13.40747845679395
2232,1,CEDCC,zh,2.191731,10.445279664324973
1919,1,CEDCC,zh,1.9877697,17.00351283682506
3044,2,CEDCC,zh,1.366578,9.711997095335088
536,1,CEDCC,zh,2.0741663,12.562691596573162
2690,1,CEDCC,zh,1.6006721,11.312635345511493
1956,2,CEDCC,zh,2.1905017,13.570736284167658
3470,2,CEDCC,zh,2.120823,21.079914461778483
2413,3,CEDCC,zh,1.9886842,16.589652497813894
4274,3,CEDCC,zh,2.7241204,12.88290707375241
2700,3,CEDCC,zh,2.6665618,15.829665016485208
2790,3,CEDCC,zh,2.071313,11.21556267339206
2693,2,CEDCC,zh,1.9357239,10.817997947464743
2976,1,CEDCC,zh,2.635989,16.722684198940065
518,3,CEDCC,zh,2.8998632,9.967366264412028
2108,1,CEDCC,zh,1.866471,11.387780401470962
2036,1,CEDCC,zh,2.3106034,17.48501331368911
1636,2,CEDCC,zh,2.2679322,10.516460120941298
2739,1,CEDCC,zh,2.1213675,15.216939739423163
877,3,CEDCC,zh,2.0341733,9.51702049093648
3193,3,CEDCC,zh,1.8075094,8.080516157373117
1805,1,CEDCC,zh,1.788906,12.447690393106546
114,2,CEDCC,zh,2.5822225,12.827985092653723
4270,1,CEDCC,zh,2.519921,7.039616913829703
222,3,CEDCC,zh,1.5821536,13.45575016370725
656,3,CEDCC,zh,2.0390952,8.224870977851175
3388,1,CEDCC,zh,2.1327164,18.17270802519715
1827,1,CEDCC,zh,1.9082274,14.693094563964662
2078,3,CEDCC,zh,1.7360975,13.179076842647303
3183,3,CEDCC,zh,2.0340161,9.457603295763237
377,3,CEDCC,zh,2.0110362,8.977876225685408
2631,1,CEDCC,zh,2.7461123,10.210331471661659
3121,3,CEDCC,zh,2.2651205,8.45505672698433
1407,1,CEDCC,zh,2.979388,17.649627126426623
2919,2,CEDCC,zh,3.6047988,19.915104296267312
1377,2,CEDCC,zh,2.0412557,11.665111398072394
2021,1,CEDCC,zh,1.9488769,16.020902400137683
1103,2,CEDCC,zh,2.3331296,12.094961056272963
2943,2,CEDCC,zh,2.6283824,20.115862712712563
780,3,CEDCC,zh,1.3862764,11.452008747726682
2562,3,CEDCC,zh,2.017233,8.992879814239881
137,2,CEDCC,zh,2.1328707,12.059586101644237
3284,1,CEDCC,zh,2.1236718,13.4038075301032
2085,3,CEDCC,zh,1.707352,7.246085428260773
840,3,CEDCC,zh,1.5210195,11.039888761399848
3200,3,CEDCC,zh,1.62483,9.536535015256415
1072,2,CEDCC,zh,2.9198704,11.319833404254831
2812,2,CEDCC,zh,1.797307,10.169579124960574
962,3,CEDCC,zh,1.6708195,11.881604198536685
2556,1,CEDCC,zh,2.41271,9.650093093807403
4254,3,CEDCC,zh,2.021311,12.459460480200585
3291,1,CEDCC,zh,1.8756884,16.738018021967935
1885,3,CEDCC,zh,1.9628621,16.697322760126315
2561,2,CEDCC,zh,1.5782936,15.957899855435064
3126,3,CEDCC,zh,2.2942812,19.253245599270468
3292,3,CEDCC,zh,2.0052829,9.981665960310293
2781,3,CEDCC,zh,2.5791972,14.017830959391755
362,1,CEDCC,zh,1.8915212,9.941180613566127
1830,1,CEDCC,zh,1.9186826,11.478757057081724
2888,3,CEDCC,zh,2.1158507,11.7665436158556
784,1,CEDCC,zh,1.5968735,12.848129743763513
